CustomerID,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,UniqueProducts,UniqueCountries,FirstPurchase,LastPurchase,CustomerLifetimeDays,ActiveMonths,RevenuePerMonth,AvgQuantityPerOrder,Churn,ChurnProbability,PredictedChurn
12346.0,326,12,77556.46,74285,2281.0723529411766,27,1,2009-12-14 08:34:00,2011-01-18 10:01:00,400,13.3,5831.31,6190.42,1,0.9396663891663892,1
12347.0,2,8,4921.53,2967,22.16905405405405,126,1,2010-10-31 14:20:00,2011-12-07 15:52:00,402,13.4,367.28,370.88,0,0.005746489621489621,0
12348.0,75,5,2019.4,2714,39.59607843137255,25,1,2010-09-27 14:59:00,2011-09-25 13:13:00,362,12.1,166.89,542.8,0,0.04143497569968158,0
12349.0,19,4,4428.6900000000005,1624,25.306800000000003,138,1,2010-04-29 13:20:00,2011-11-21 09:51:00,570,19.0,233.09,406.0,0,0.016112119362119363,0
12350.0,310,1,334.40000000000003,197,19.67058823529412,17,1,2011-02-02 16:01:00,2011-02-02 16:01:00,0,1.0,334.4,197.0,1,0.9949057061444512,1
12351.0,375,1,300.93,261,14.33,21,1,2010-11-29 15:23:00,2010-11-29 15:23:00,0,1.0,300.93,261.0,1,0.9936196080299855,1
12352.0,36,10,2849.84,724,27.668349514563108,70,1,2010-11-12 10:20:00,2011-11-03 14:37:00,356,11.9,239.48,72.4,0,0.023065679690679693,0
12353.0,204,2,406.76,212,16.948333333333334,23,1,2010-10-27 12:44:00,2011-05-19 17:47:00,204,6.8,59.82,106.0,1,0.9964942002442003,1
12354.0,232,1,1079.4,530,18.610344827586207,58,1,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1.0,1079.4,530.0,1,0.9889057932807932,1
12355.0,214,2,947.61,543,27.074571428571428,35,1,2010-05-21 11:59:00,2011-05-09 13:49:00,353,11.8,80.31,271.5,1,0.9726866374366373,1
12356.0,23,6,6371.7300000000005,3416,44.87133802816902,104,1,2010-10-11 09:42:00,2011-11-17 08:40:00,401,13.4,475.5,569.33,0,0.018569330723742485,0
12357.0,33,3,18287.66,6587,61.78263513513514,261,1,2010-11-16 10:05:00,2011-11-06 16:07:00,355,11.8,1549.8,2195.67,0,0.022039245612775024,0
12358.0,2,5,3887.07,1079,50.48142857142857,56,1,2009-12-08 07:59:00,2011-12-08 10:26:00,730,24.3,159.96,215.8,0,0.0,0
12359.0,58,10,8873.39,2739,24.5121270718232,305,1,2009-12-05 13:32:00,2011-10-13 12:47:00,676,22.5,394.37,273.9,0,0.0002222222222222222,0
12360.0,52,8,4252.89,2459,19.59857142857143,160,1,2010-02-22 09:32:00,2011-10-18 15:22:00,603,20.1,211.59,307.38,0,0.00037037037037037035,0
12361.0,287,4,511.25,235,17.629310344827587,18,1,2010-01-26 14:37:00,2011-02-25 13:51:00,394,13.1,39.03,58.75,1,0.9750641025641024,1
12362.0,3,11,5356.2300000000005,2230,20.06078651685393,201,1,2009-12-01 10:10:00,2011-12-06 15:40:00,735,24.5,218.62,202.73,0,0.0,0
12363.0,110,2,552.0,408,24.0,23,1,2011-04-11 13:29:00,2011-08-22 10:18:00,132,4.4,125.45,204.0,1,0.9811184795143129,1
12364.0,8,4,1313.1,1506,15.448235294117646,70,1,2011-08-19 15:24:00,2011-12-02 10:22:00,104,3.5,375.17,376.5,0,0.012979797979797978,0
12365.0,291,2,641.38,174,29.15363636363636,22,1,2011-02-21 13:51:00,2011-02-21 14:04:00,0,1.0,641.38,87.0,1,0.9941796690307328,1
12366.0,634,1,500.24,296,166.74666666666667,3,1,2010-03-16 10:28:00,2010-03-16 10:28:00,0,1.0,500.24,296.0,1,0.9827959958342312,1
12367.0,4,1,168.9,173,15.354545454545455,11,1,2011-12-05 16:48:00,2011-12-05 16:48:00,0,1.0,168.9,173.0,0,0.01659773638497043,0
12368.0,628,1,917.7,330,50.98333333333333,18,1,2010-03-21 15:56:00,2010-03-21 15:56:00,0,1.0,917.7,330.0,1,0.991711754911755,1
12369.0,413,3,1791.15,1241,19.25967741935484,90,1,2010-03-08 08:09:00,2010-10-22 13:13:00,228,7.6,235.68,413.67,1,0.9954034391534393,1
12370.0,51,7,4316.56,2604,21.47542288557214,168,2,2010-02-09 09:41:00,2011-10-19 14:51:00,617,20.6,209.54,372.0,0,0.008609088079676315,0
12371.0,45,5,4067.38,1436,24.35556886227545,134,1,2010-03-04 18:23:00,2011-10-26 10:16:00,600,20.0,203.37,287.2,0,0.003296296296296296,0
